      STATION     CHORD       PITCH       PITCH        PITCH       SWEEP    THICKNESS      TWIST      MAX-THICK  CROSS-SECTION ZHIGH       CGY          CGZ                        
       (R100)       (IN)       (QUOTED)    (LE-TE)     (PRATHER)      (IN)     RATIO         (DEG)       (IN)      (IN**2)      (IN)         (IN)         (IN)                 

      25.09      15.36      4.7595      5.4918      4.0389      0.5250      0.2495     28.1847      0.2491      0.2147      0.3539      0.1085      0.1033
      26.32      15.56      4.9126      5.6690      4.2492      0.5248      0.2430     27.8032      0.2458      0.2128      0.3473      0.1023      0.0988
      27.55      15.75      5.0501      5.8285      4.4476      0.5244      0.2367     27.3823      0.2422      0.2103      0.3407      0.0964      0.0948
      28.78      15.91      5.1717      5.9703      4.6331      0.5238      0.2306     26.9262      0.2384      0.2073      0.3341      0.0907      0.0914
      30.01      16.05      5.2777      6.0944      4.8048      0.5231      0.2247     26.4380      0.2345      0.2038      0.3275      0.0853      0.0883
      31.24      16.17      5.3681      6.2010      4.9618      0.5222      0.2191     25.9206      0.2303      0.2000      0.3209      0.0801      0.0857
      32.55      16.28      5.4469      6.2951      5.1118      0.5210      0.2133     25.3406      0.2258      0.1955      0.3139      0.0749      0.0832
      34.91      16.43      5.5443      6.4149      5.3351      0.5184      0.2035     24.2239      0.2174      0.1867      0.3013      0.0661      0.0798
      37.35      16.51      5.5840      6.4713      5.4972      0.5148      0.1943     22.9869      0.2085      0.1770      0.2883      0.0579      0.0773
      39.80      16.53      5.5845      6.4846      5.6082      0.5105      0.1859     21.7515      0.1997      0.1670      0.2752      0.0509      0.0752
      42.24      16.48      5.5845      6.4967      5.7048      0.5053      0.1783     20.6377      0.1910      0.1571      0.2622      0.0452      0.0728
      44.68      16.38      5.5845      6.5090      5.7877      0.4993      0.1716     19.6320      0.1827      0.1474      0.2493      0.0406      0.0699
      47.12      16.21      5.5845      6.5219      5.8570      0.4923      0.1658     18.7215      0.1747      0.1380      0.2363      0.0370      0.0665
      49.56      15.99      5.5845      6.5361      5.9126      0.4843      0.1608     17.8954      0.1671      0.1292      0.2233      0.0342      0.0627
      52.00      15.72      5.5845      6.5518      5.9545      0.4754      0.1567     17.1442      0.1601      0.1209      0.2104      0.0321      0.0583
      54.45      15.40      5.5845      6.5694      5.9829      0.4655      0.1534     16.4592      0.1536      0.1131      0.1975      0.0305      0.0534
      56.89      15.04      5.5845      6.5893      5.9977      0.4545      0.1510     15.8340      0.1477      0.1059      0.1846      0.0292      0.0479
      59.33      14.64      5.5845      6.6115      6.0000      0.4424      0.1494     15.2620      0.1422      0.0991      0.1717      0.0281      0.0420
      61.77      14.20      5.5845      6.6336      6.0000      0.4292      0.1479     14.7322      0.1366      0.0923      0.1588      0.0270      0.0360
      64.21      13.73      5.5845      6.6548      6.0000      0.4149      0.1465     14.2385      0.1307      0.0853      0.1460      0.0258      0.0299
      66.66      13.22      5.5845      6.6750      6.0000      0.3993      0.1450     13.7771      0.1246      0.0783      0.1331      0.0243      0.0238
      69.10      12.68      5.5845      6.6940      6.0000      0.3825      0.1435     13.3445      0.1184      0.0714      0.1203      0.0225      0.0176
      71.54      12.12      5.5845      6.7118      6.0000      0.3645      0.1421     12.9377      0.1120      0.0645      0.1075      0.0201      0.0113
      73.98      11.54      5.5845      6.7282      6.0000      0.3452      0.1406     12.5539      0.1055      0.0579      0.0947      0.0171      0.0049
      74.77      11.35      5.5845      6.7428      6.0000      0.3245      0.1391     12.4366      0.0989      0.0515      0.0819      0.0133     -0.0016
      76.42      10.94      5.5845      6.7554      6.0000      0.3025      0.1377     12.1905      0.0924      0.0454      0.0691      0.0086     -0.0082
      78.86      10.32      5.5845      6.7656      6.0000      0.2791      0.1362     11.8453      0.0858      0.0396      0.0564      0.0029     -0.0150
      81.31      09.69      5.5845      6.7729      6.0000      0.2543      0.1347     11.5161      0.0793      0.0342      0.0436     -0.0040     -0.0219
      83.75      09.05      5.5845      6.7767      6.0000      0.2280      0.1333     11.2008      0.0728      0.0292      0.0309     -0.0122     -0.0289
      86.19      08.40      5.5577      6.7491      5.9696      0.2002      0.1318     10.8970      0.0664      0.0246      0.0182     -0.0218     -0.0360
      88.63      07.75      5.4788      6.7459      5.8386      0.1708      0.1303     10.5616      0.0602      0.0205      0.0057     -0.0330     -0.0432
      91.07      07.10      5.3477      6.8521      5.6296      0.1399      0.1289     10.2797      0.0541      0.0168     -0.0062     -0.0459     -0.0503
      93.52      06.46      5.1653      7.1217      5.4007      0.1075      0.1274     10.1712      0.0483      0.0135     -0.0171     -0.0606     -0.0572
      95.95      05.83      4.9434      7.5849      5.3462      0.0129      0.1260     10.3005      0.0350      0.0072     -0.0410     -0.1107     -0.0711
      98.27      04.27      4.7837      5.1398      5.1396     -0.2549      0.1252     10.7023      0.0003      0.0000     -0.1045      0.0000      0.0000
      99.69      00.04      0.0000      0.0000      0.0000      0.000       0.0000      7.1949      0.0000      0.0000      0.0000      0.0000      0.0000
